연도,연령대,행정동,인구수
2019,76-80세,수내1동,453
2019,76-80세,수내2동,205
2019,76-80세,수내3동,204
2019,76-80세,정자1동,762
2019,76-80세,정자2동,494
2019,76-80세,정자3동,355
2019,76-80세,정자동,401
2019,80세+,구미1동,473
2019,80세+,구미동,1220
2019,80세+,금곡동,1029
2019,80세+,분당동,669
2019,80세+,수내1동,620
2019,80세+,수내2동,244
2019,80세+,수내3동,219
2019,80세+,정자1동,711
2019,80세+,정자2동,651
2019,80세+,정자3동,522
2019,80세+,정자동,375
